strain	accession	type	subtype	year	database	wic_role	virus_measurement_count	reference_measurement_count
A/POLAND/1702/2014		A	H3N2	2014		virus_and_reference	21	14
A/PORTCHALMERS/1/1973		A	H3N2	1973		virus_and_reference	48	86
A/PRAGUE/3/2007		A	H3N2	2007		virus_and_reference	335	600
A/PRAGUE/413/1994		A	H3N2	1994		virus_and_reference	31	63
A/RHODEISLAND/01/2010		A	H3N2	2010		virus_and_reference	10	9
A/RHODEISLAND/1/2010@X199		A	H3N2			virus_and_reference	16	51
A/SAGA/128/1997		A	H3N2	1997		virus_and_reference	18	37
A/SAITAMA/103/2014		A	H3N2	2014		virus_and_reference	13	14
A/SAMARA/73/2013		A	H3N2	2013		virus_and_reference	1957	4300
A/SANTIAGO/7981/2006		A	H3N2	2006		virus_and_reference	173	613
A/SENDAI/296/1999		A	H3N2	1999		virus_and_reference	6	7
A/SENDAI/4952/2002		A	H3N2	2002		virus_and_reference	62	208
A/SENDAI/F131/2006		A	H3N2	2006		virus_and_reference	40	112
A/SERBIA/NS210/2013		A	H3N2	2013		virus_and_reference	504	563
A/SERRES/77/2007		A	H3N2	2007		virus_and_reference	110	231
A/SHANDONG/9/1993		A	H3N2	1993		virus_and_reference	393	2229
A/SHANGHAI/11/1987		A	H3N2	1987		virus_and_reference	9	191
A/SHANGHAI/16/1989		A	H3N2	1989		virus_and_reference	21	280
A/SHANGHAI/24/1990		A	H3N2	1990		virus_and_reference	8	10
A/SHANGHAI/42/1999		A	H3N2	1999		virus_and_reference	68	96
A/SHANGHAI/6/1990		A	H3N2	1990		virus_and_reference	7	10
A/SHANTOU/1219/2004		A	H3N2	2004		virus_and_reference	421	1480
A/SHIGA/2/1991		A	H3N2	1991		virus_and_reference	7	8
A/SHIGA/2/1991@LOT92		A	H3N2			virus_and_reference	9	11
A/SICHUAN/2/1987		A	H3N2	1987		virus_and_reference	76	820
A/SICHUAN/346/1998		A	H3N2	1998		virus_and_reference	248	838
A/SINGAPORE/15/2001		A	H3N2	2001		virus_and_reference	173	534
A/SINGAPORE/37/2004		A	H3N2	2004		virus_and_reference	241	896
A/SINGAPORE/7/1994		A	H3N2	1994		virus_and_reference	14	10
A/SINGAPORE/INFIMH160019/2016		A	H3N2	2016		virus_and_reference	731	1628
A/SLOVAKIA/134/2006		A	H3N2	2006		virus_and_reference	223	731
A/SLOVENIA/129/2016		A	H3N2	2016		virus_and_reference	14	20
A/SOFIA/319/2007		A	H3N2	2007		virus_and_reference	214	489
A/SOUTHAFRICA/1147/1996		A	H3N2	1996		virus_and_reference	192	610
A/SOUTHAFRICA/2825/2015		A	H3N2	2015		virus_and_reference	13	21
A/SOUTHAFRICA/4655/2013		A	H3N2	2013		virus_and_reference	436	1154
A/SOUTHAFRICA/R06421/2019		A	H3N2	2019		virus_and_reference	11	14
A/SOUTHAFRICA/R2665/2015#CLONE67		A	H3N2			virus_and_reference	14	18
A/SOUTHAUSTRALIA/14/1992		A	H3N2	1992		virus_and_reference	17	24
A/SOUTHAUSTRALIA/156/1997		A	H3N2	1997		virus_and_reference	7	17
