query_strain	Isolate_Name	Isolate_Id	Collection_Date	Location	Host	metadata_file
A/STOCKHOLM/60/2016	A/Stockholm/60/2016	EPI_ISL_245022	2016-12-28	Europe / Sweden / Stockholms lan	Human	gisaid_meta_2015-2016.xls
A/STOCKHOLM/60/2016	A/Stockholm/60/2016	EPI_ISL_274121	2016-12-28	Europe / Sweden	Human	gisaid_meta_2015-2016.xls
A/STOCKHOLM/7/2015	A/Stockholm/7/2015	EPI_ISL_172929	2015-01-13	Europe / Sweden / Vastra Gotalands lan	Human	gisaid_meta_2015-2016.xls
A/STOCKHOLM/7/2015	A/Stockholm/7/2015	EPI_ISL_191812	2015-01-13	Europe / Sweden	Human	gisaid_meta_2015-2016.xls
A/STOCKHOLM/8/2015	A/Stockholm/8/2015	EPI_ISL_172930	2015-01-25	Europe / Sweden / Vastra Gotalands lan	Human	gisaid_meta_2015-2016.xls
A/STOCKHOLM/8/2015	A/Stockholm/8/2015	EPI_ISL_191813	2015-01-25	Europe / Sweden	Human	gisaid_meta_2015-2016.xls
A/STOCKHOLM/8/2017	A/Stockholm/8/2017	EPI_ISL_253870	2017-01-12	Europe / Sweden / Stockholms lan	Human	gisaid_meta_2017.xls
A/STOCKHOLM/8/2017	A/Stockholm/8/2017	EPI_ISL_274122	2017-01-12	Europe / Sweden	Human	gisaid_meta_2017.xls
A/SUCEAVA/87402/2012	A/Suceava/87402/2012	EPI_ISL_107891	2011-12-12	Europe / Romania	Human	gisaid_meta_2011-2014.xls
A/SUNDSVALL/1/2017	A/Sundsvall/1/2017	EPI_ISL_245023	2017-01-17	Europe / Sweden / Vasternorrlands lan	Human	gisaid_meta_2017.xls
A/SUNDSVALL/1/2017	A/Sundsvall/1/2017	EPI_ISL_274123	2017-01-17	Europe / Sweden	Human	gisaid_meta_2017.xls
A/SUNDSVALL/1/2018	A/Sundsvall/1/2018	EPI_ISL_334183	2018-12-03	Europe / Sweden / Vasternorrlands lan	Human	gisaid_meta_2018.xls
A/SUNDSVALL/1/2018	A/Sundsvall/1/2018	EPI_ISL_338772	2018-12-03	Europe / Sweden	Human	gisaid_meta_2018.xls
A/SUNDSVALL/2/2018	A/Sundsvall/2/2018	EPI_ISL_334184	2018-12-01	Europe / Sweden / Vasternorrlands lan	Human	gisaid_meta_2018.xls
A/SUNDSVALL/2/2018	A/Sundsvall/2/2018	EPI_ISL_338773	2018-12-01	Europe / Sweden	Human	gisaid_meta_2018.xls
A/SUNDSVALL/27/2017	A/Sundsvall/27/2017	EPI_ISL_310242	2017-11-20	Europe / Sweden / Vasternorrlands lan	Human	gisaid_meta_2017.xls
A/SUR/7325/2019	A/Sur/7325/2019	EPI_ISL_401625	2019-11-06	Asia / Oman	Human	gisaid_meta_2019.xls
A/SWEDEN/11/2018	A/Sweden/11/2018	EPI_ISL_302283	2018-01-30	Europe / Sweden / Hallands lan	Human	gisaid_meta_2018.xls
A/SWEDEN/11/2018	A/Sweden/11/2018	EPI_ISL_314683	2018-01-30	Europe / Sweden	Human	gisaid_meta_2018.xls
A/SWEDEN/15/2015	A/Sweden/15/2015	EPI_ISL_177076	2015-02-27	Europe / Sweden / Vastmanlands lan	Human	gisaid_meta_2015-2016.xls
A/SWEDEN/16/2015	A/Sweden/16/2015	EPI_ISL_177077	2015-03-05	Europe / Sweden / Jamtlands lan	Human	gisaid_meta_2015-2016.xls
A/SWEDEN/16/2015	A/Sweden/16/2015	EPI_ISL_191820	2015-03-05	Europe / Sweden	Human	gisaid_meta_2015-2016.xls
A/SWEDEN/37/2018	A/Sweden/37/2018	EPI_ISL_310245	2018-02-09	Europe / Sweden / Stockholms lan	Human	gisaid_meta_2018.xls
A/SWEDEN/76/2014	A/Sweden/76/2014	EPI_ISL_169256	2014-11-02	Europe / Sweden / Uppsala lan	Human	gisaid_meta_2011-2014.xls
